L1, L2, L3, L4, L5, L6, L7
-0.0039841,0.00521881,-2.7288e-05,-0.258786,-0.00158299,-0.00130524,-0.00627192

r11, r12, r13, r21, r22, r23, r31, r32, r33
0.606795,-0.794847,0.00415607,0.239884,0.197794,0.950439,-0.756276,-0.575725,0.310691

Tx, Ty, Tz, f, Sx, Det M, pixelSize, R1.R2
39.4141,-151.539,268.36,2.63523,0.994973,8.3498e+19,0.00155,-0.0077057

Xw, Yw, Zw, Xcm, Ycm, Xce, Yce, Xcm - Xce, Ycm - Yce, ErrMagnitude, Kappa1 estimate, Xd2Yd2
0,53,208,1489,1444,1489.66,1443.34,-0.663157,0.658685,0.934688,0.0119635,0.244772
0,53,182,1487,1311,1488.76,1309.37,-1.75861,1.6343,2.40076,0.15416,0.0835229
0,53,156,1487,1168,1487.8,1167.83,-0.803026,0.169789,0.820779,3.76861,0.00484824
0,53,130,1486,1017,1486.79,1018.08,-0.791953,-1.0764,1.33635,0.430654,0.0284936
0,53,104,1485,859,1485.72,859.367,-0.720417,-0.367054,0.808535,0.017796,0.170532
0,27,208,1600,1401,1600.28,1400.79,-0.277536,0.213073,0.349894,0.00575697,0.207038
0,27,182,1603,1274,1602.31,1272.18,0.694906,1.81728,1.94561,0.136265,0.078826
0,27,156,1605,1136,1604.44,1136.68,0.558622,-0.682275,0.881792,0.311907,0.0267783
0,27,130,1607,993,1606.7,993.716,0.304627,-0.715608,0.777748,0.0659839,0.0693674
0,27,104,1609,842,1609.08,842.648,-0.0770847,-0.648141,0.652708,0.00974062,0.220958
0,79,208,1368,1489,1367.53,1490.33,0.469546,-1.32691,1.40754,0.0100927,0.360183
0,79,182,1363,1351,1363.05,1350.53,-0.0466702,0.467506,0.46983,0.0105944,0.167803
0,79,156,1357,1203,1358.3,1202.41,-1.29592,0.58529,1.42196,0.136945,0.0637455
0,79,130,1353,1045,1353.25,1045.21,-0.253633,-0.20739,0.327629,0.0290919,0.0672916
0,79,104,1348,878,1347.89,878.047,0.107879,-0.0473526,0.117814,0.0020102,0.202081
0,105,182,1226,1395,1223.1,1396.36,2.89652,-1.35958,3.19973,0.0233972,0.355512
0,105,156,1215,1240,1213.67,1241.04,1.334,-1.03771,1.69009,0.0242351,0.226916
0,105,130,1205,1075,1203.61,1075.61,1.38555,-0.609596,1.51372,0.0235216,0.215084
7,0,208,1730,1372,1729.85,1373.16,0.14738,-1.16433,1.17362,0.0127065,0.273666
7,0,182,1737,1249,1735.09,1247.99,1.90993,1.01341,2.16214,0.0470274,0.171887
7,0,156,1743,1115,1740.6,1116.32,2.40087,-1.31722,2.73847,0.0792363,0.142105
7,0,130,1750,978,1746.4,977.638,3.59851,0.362205,3.61669,0.0617141,0.202072
33,0,182,1835,1290,1839.48,1291.4,-4.47591,-1.40087,4.69001,0.0374872,0.335029
33,0,156,1845,1151,1848.25,1152.06,-3.24515,-1.06257,3.41468,0.0343195,0.287582
33,0,130,1854,1006,1857.51,1004.79,-3.51361,1.20807,3.7155,0.0296893,0.335093
